offer,candidates,link_offer
Luxembourg Buildings Management and Maintenance Unit,3,https://ep-stages.gestmax.eu/2886/1/unite-de-la-gestion-immobiliere-et-de-la-maintenance-a-luxembourg/en_US?backlink=search
Learning and Development Unit - Post B: Learn.MEP,6,https://ep-stages.gestmax.eu/2885/1/learning-and-development-unit-post-b-learn-mep/en_US?backlink=search
Learning and Development Unit - Post A: IT training and Learning Technologies,3,https://ep-stages.gestmax.eu/2884/1/learning-and-development-unit-post-a-it-training-and-learning-technologies/en_US?backlink=search
Bureau de liaison du Parlement européen en France - Poste C: Relations publiques,10,https://ep-stages.gestmax.eu/2883/1/bureau-de-liaison-du-parlement-europeen-en-france-poste-c-relations-publiques/fr_FR?backlink=search
Bureau de liaison du Parlement européen en France - Poste B: Relations publiques,11,https://ep-stages.gestmax.eu/2882/1/bureau-de-liaison-du-parlement-europeen-en-france-poste-b-relations-publiques/fr_FR?backlink=search
Bureau de liaison du Parlement européen en France - Poste A: Presse,8,https://ep-stages.gestmax.eu/2881/1/bureau-de-liaison-du-parlement-europeen-en-france-poste-a-presse/fr_FR?backlink=search
European Parliament Liaison Office in Portugal,74,https://ep-stages.gestmax.eu/2880/1/european-parliament-liaison-office-in-portugal/en_US?backlink=search
Secretariat of the Subcommittee on Tax Matters,6,https://ep-stages.gestmax.eu/2879/1/secretariat-of-the-subcommittee-on-tax-matters/en_US?backlink=search
European Parliament Former Members Association,2,https://ep-stages.gestmax.eu/2877/1/european-parliament-former-members-association/en_US?backlink=search
Unité Protocole - Poste B,5,https://ep-stages.gestmax.eu/2876/1/unite-protocole-poste-b/fr_FR?backlink=search
Economic Governance Support Unit,29,https://ep-stages.gestmax.eu/2875/1/economic-governance-support-unit/en_US?backlink=search
Policy Department for Structural and Cohesion Policies,12,https://ep-stages.gestmax.eu/2874/1/policy-department-for-structural-and-cohesion-policies/en_US?backlink=search
Secretariat of the Special Committee on Artificial Intelligence in a Digital Age,26,https://ep-stages.gestmax.eu/2873/1/secretariat-of-the-special-committee-on-artificial-intelligence-in-a-digital-age/en_US?backlink=search
European Parliament Liaison Office in Spain - Post C,24,https://ep-stages.gestmax.eu/2872/1/european-parliament-liaison-office-in-spain-post-c/en_US?backlink=search
European Parliament Liaison Office in Spain - Post B,23,https://ep-stages.gestmax.eu/2871/1/european-parliament-liaison-office-in-spain-post-b/en_US?backlink=search
European Parliament Liaison Office in Spain - Post A,27,https://ep-stages.gestmax.eu/2870/1/european-parliament-liaison-office-in-spain-post-a/en_US?backlink=search
Unité Protocole - Poste A,3,https://ep-stages.gestmax.eu/2869/1/unite-protocole-poste-a/fr_FR?backlink=search
European Parliament Liaison Office in Hungary - Post B: Public Relations,5,https://ep-stages.gestmax.eu/2868/1/european-parliament-liaison-office-in-hungary-post-b-public-relations/en_US?backlink=search
European Parliament Liaison Office in Hungary - Post A: Press ,4,https://ep-stages.gestmax.eu/2867/1/european-parliament-liaison-office-in-hungary-post-a-press/en_US?backlink=search
Secretariat of the Committee on Budgets,6,https://ep-stages.gestmax.eu/2866/1/secretariat-of-the-committee-on-budgets/en_US?backlink=search
European Parliament Liaison Office in Luxembourg - Post A: Public relations ,4,https://ep-stages.gestmax.eu/2865/1/european-parliament-liaison-office-in-luxembourg-post-a-public-relations/en_US?backlink=search
Secretariat of the Committee on Constitutional Affairs,27,https://ep-stages.gestmax.eu/2864/1/secretariat-of-the-committee-on-constitutional-affairs/en_US?backlink=search
European Parliament Liaison Office in Luxembourg - Post B: Social media,2,https://ep-stages.gestmax.eu/2863/1/european-parliament-liaison-office-in-luxembourg-post-b-social-media/en_US?backlink=search
Secretariat of the Committee on Regional Development,40,https://ep-stages.gestmax.eu/2862/1/secretariat-of-the-committee-on-regional-development/en_US?backlink=search
Secretariat of the Committee on Agriculture and Rural Development,23,https://ep-stages.gestmax.eu/2861/1/secretariat-of-the-committee-on-agriculture-and-rural-development/en_US?backlink=search
Secretariat of the Committee on the Internal Market and Consumer Protection - Post B,9,https://ep-stages.gestmax.eu/2860/1/secretariat-of-the-committee-on-the-internal-market-and-consumer-protection-post-b/en_US?backlink=search
Secretariat of the Committee on the Internal Market and Consumer Protection - Post A,9,https://ep-stages.gestmax.eu/2859/1/secretariat-of-the-committee-on-the-internal-market-and-consumer-protection-post-a/en_US?backlink=search
European Parliament Liaison Office in Germany - Post B,5,https://ep-stages.gestmax.eu/2858/1/european-parliament-liaison-office-in-germany-post-b/en_US?backlink=search
European Parliament Liaison Office in Germany - Post A,3,https://ep-stages.gestmax.eu/2857/1/european-parliament-liaison-office-in-germany-post-a/en_US?backlink=search
Directorate for Legislative and Committee Coordination,5,https://ep-stages.gestmax.eu/2856/1/directorate-for-legislative-and-committee-coordination/en_US?backlink=search
Secretariat of the Committee on Transport and Tourism,17,https://ep-stages.gestmax.eu/2855/1/secretariat-of-the-committee-on-transport-and-tourism/en_US?backlink=search
Committee Coordination and Legislative Programming Unit,14,https://ep-stages.gestmax.eu/2854/1/committee-coordination-and-legislative-programming-unit/en_US?backlink=search
Secretariat of the Committee on Women's Rights and Gender Equality,70,https://ep-stages.gestmax.eu/2853/1/secretariat-of-the-committee-on-women-s-rights-and-gender-equality/en_US?backlink=search
Clear Language and Editing Unit - Post B: Coordination,5,https://ep-stages.gestmax.eu/2852/1/clear-language-and-editing-unit-post-b-coordination/en_US?backlink=search
Clear Language and Editing Unit - Post C: Coordination,3,https://ep-stages.gestmax.eu/2851/1/clear-language-and-editing-unit-post-c-coordination/en_US?backlink=search
President's Office: Internal policies team - Post B,5,https://ep-stages.gestmax.eu/2850/1/president-s-office-internal-policies-team-post-b/en_US?backlink=search
President's Office: Internal policies team - Post A,4,https://ep-stages.gestmax.eu/2849/1/president-s-office-internal-policies-team-post-a/en_US?backlink=search
President's Office: Media and Communication team - Post A,10,https://ep-stages.gestmax.eu/2848/1/president-s-office-media-and-communication-team-post-a/en_US?backlink=search
Czech Translation Unit,0,https://ep-stages.gestmax.eu/2847/1/czech-translation-unit/en_US?backlink=search
Secretariat of the Special Committee on Beating Cancer,8,https://ep-stages.gestmax.eu/2846/1/secretariat-of-the-special-committee-on-beating-cancer/en_US?backlink=search
European Parliament Liaison Office in the Netherlands - Post B: Press and social media,2,https://ep-stages.gestmax.eu/2845/1/european-parliament-liaison-office-in-the-netherlands-post-b-press-and-social-media/en_US?backlink=search
"European Parliament Liaison Office in the Netherlands - Post A: Public Relations, Education and Events ",5,https://ep-stages.gestmax.eu/2844/1/european-parliament-liaison-office-in-the-netherlands-post-a-public-relations-education-events/en_US?backlink=search
Clear Language and Editing Unit - Post A: Editing,2,https://ep-stages.gestmax.eu/2843/1/clear-language-and-editing-unit-post-a-editing/en_US?backlink=search
European Parliament Liaison Office in Finland - Post B,3,https://ep-stages.gestmax.eu/2842/1/european-parliament-liaison-office-in-finland-post-b/en_US?backlink=search
European Parliament Liaison Office in Finland - Post A,4,https://ep-stages.gestmax.eu/2841/1/european-parliament-liaison-office-in-finland-post-a/en_US?backlink=search
Euramis Pre-Translation Unit,12,https://ep-stages.gestmax.eu/2840/1/euramis-pre-translation-unit/en_US?backlink=search
European Parliament Liaison Office in Ireland - Post A: Media,8,https://ep-stages.gestmax.eu/2839/1/european-parliament-liaison-office-in-ireland-post-a-media/en_US?backlink=search
Policy Department for Budgetary Affairs - Post B,6,https://ep-stages.gestmax.eu/2837/1/policy-department-for-budgetary-affairs-post-b/en_US?backlink=search
Policy Department for Budgetary Affairs - Post A,7,https://ep-stages.gestmax.eu/2836/1/policy-department-for-budgetary-affairs-post-a/en_US?backlink=search
Secretariat of the Committee on Budgetary Control - Post B,3,https://ep-stages.gestmax.eu/2835/1/secretariat-of-the-committee-on-budgetary-control-post-b/en_US?backlink=search
Secretariat of the Committee on Budgetary Control - Post A,4,https://ep-stages.gestmax.eu/2834/1/secretariat-of-the-committee-on-budgetary-control-post-a/en_US?backlink=search
Strategy and Innovation Unit - Post C,6,https://ep-stages.gestmax.eu/2833/1/strategy-and-innovation-unit-post-c/en_US?backlink=search
Strategy and Innovation Unit - Post B,6,https://ep-stages.gestmax.eu/2832/1/strategy-and-innovation-unit-post-b/en_US?backlink=search
Strategy and Innovation Unit - Post A,6,https://ep-stages.gestmax.eu/2831/1/strategy-and-innovation-unit-post-a/en_US?backlink=search
"Secretariat of the Committee on Industry, Research and Energy",27,https://ep-stages.gestmax.eu/2830/1/secretariat-of-the-committee-on-industry-research-and-energy/en_US?backlink=search
President's Office: Media and Communication team - Post B,8,https://ep-stages.gestmax.eu/2829/1/president-s-office-media-and-communication-team-post-b/en_US?backlink=search
President's Office: European law ,25,https://ep-stages.gestmax.eu/2828/1/president-s-office-european-law/en_US?backlink=search
President's Office: External policies team,44,https://ep-stages.gestmax.eu/2827/1/president-s-office-external-policies-team/en_US?backlink=search
Hungarian Translation Unit - Post C,1,https://ep-stages.gestmax.eu/2826/1/hungarian-translation-unit-post-c/en_US?backlink=search
Hungarian Translation Unit - Post B,1,https://ep-stages.gestmax.eu/2825/1/hungarian-translation-unit-post-b/en_US?backlink=search
Hungarian Translation Unit - Post A,1,https://ep-stages.gestmax.eu/2824/1/hungarian-translation-unit-post-a/en_US?backlink=search
European Parliament Liaison Office in Denmark - Post B: Social Media and Events,2,https://ep-stages.gestmax.eu/2823/1/european-parliament-liaison-office-in-denmark-post-b-social-media-and-events/en_US?backlink=search
European Parliament Liaison Office in Denmark - Post A: Written and Online Press,4,https://ep-stages.gestmax.eu/2822/1/european-parliament-liaison-office-in-denmark-post-a-written-and-online-press/en_US?backlink=search
European Parliament Liaison Office in Belgium - Post B: Digital Communication (FR),2,https://ep-stages.gestmax.eu/2821/1/european-parliament-liaison-office-in-belgium-post-b-digital-communication-fr/en_US?backlink=search
European Parliament Liaison Office in Belgium - Post A: Digital Communication (NL),3,https://ep-stages.gestmax.eu/2820/1/european-parliament-liaison-office-in-belgium-post-a-digital-communication-nl/en_US?backlink=search
European Parliament Liaison Office in Germany - Munich Regional Office - Post A,4,https://ep-stages.gestmax.eu/2819/1/european-parliament-liaison-office-in-germany-munich-regional-office-post-a/en_US?backlink=search
European Parliament Liaison Office in Germany - Munich Regional Office - Post B: Media,2,https://ep-stages.gestmax.eu/2818/1/european-parliament-liaison-office-in-germany-munich-regional-office-post-b/en_US?backlink=search
Directorate for Support and Technological Services for Translation,0,https://ep-stages.gestmax.eu/2817/1/directorate-for-support-and-technological-services-for-translation/en_US?backlink=search
Directorate for Visitors,6,https://ep-stages.gestmax.eu/2816/1/directorate-for-visitors/en_US?backlink=search
Logistical Support Unit for Liaison Offices,3,https://ep-stages.gestmax.eu/2815/1/logistical-support-unit-for-liaison-offices/en_US?backlink=search
Projects Support Unit - Business Analysis and Project Methods Service,4,https://ep-stages.gestmax.eu/2814/1/projects-support-unit-business-analysis-and-project-methods-service/en_US?backlink=search
Individual Equipment and Logistics Unit - Electronic Voting and Associated Services Service,2,https://ep-stages.gestmax.eu/2813/1/individual-equipment-and-logistics-unit-electronic-voting-and-associated-services-service/en_US?backlink=search
"Data Management, Document Production Unit ",7,https://ep-stages.gestmax.eu/2812/1/data-management-document-production-unit/en_US?backlink=search
Directorate for Citizens' Language,2,https://ep-stages.gestmax.eu/2811/1/directorate-for-citizens-language/en_US?backlink=search
Danish Translation Unit – Post B,1,https://ep-stages.gestmax.eu/2810/1/danish-translation-unit-post-b/en_US?backlink=search
Danish Translation Unit – Post A,1,https://ep-stages.gestmax.eu/2809/1/danish-translation-unit-post-a/en_US?backlink=search
European Parliament Liaison Office in Greece - Post B: Public Relations,22,https://ep-stages.gestmax.eu/2808/1/european-parliament-liaison-office-in-greece-post-b-public-relations/en_US?backlink=search
European Parliament Liaison Office in Greece - Post A: Written and Online Press,13,https://ep-stages.gestmax.eu/2807/1/european-parliament-liaison-office-in-greece-post-a-written-and-online-press/en_US?backlink=search
Parlamentarium - Post B,4,https://ep-stages.gestmax.eu/2806/1/parlamentarium-post-b/en_US?backlink=search
Parlamentarium - Post A,5,https://ep-stages.gestmax.eu/2805/1/parlamentarium-post-a/en_US?backlink=search
Strategic Support Unit for Liaison Offices,5,https://ep-stages.gestmax.eu/2804/1/strategic-support-unit-for-liaison-offices/en_US?backlink=search
European Parliament Liaison Office in Poland - Post B: Digital communication,3,https://ep-stages.gestmax.eu/2803/1/european-parliament-liaison-office-in-poland-post-b-digital-communication/en_US?backlink=search
European Parliament Liaison Office in Poland - Post A: Public relations,4,https://ep-stages.gestmax.eu/2802/1/european-parliament-liaison-office-in-poland-post-a-public-relations/en_US?backlink=search
Terminology Coordination Unit - Post D: Communication,0,https://ep-stages.gestmax.eu/2801/1/terminology-coordination-unit-post-d-communication/en_US?backlink=search
Terminology Coordination Unit - Post C: Communication,1,https://ep-stages.gestmax.eu/2800/1/terminology-coordination-unit-post-c-communication/en_US?backlink=search
Terminology Coordination Unit - Post B: Terminology,9,https://ep-stages.gestmax.eu/2799/1/terminology-coordination-unit-post-b-terminology/en_US?backlink=search
Terminology Coordination Unit - Post A: Terminology,9,https://ep-stages.gestmax.eu/2798/1/terminology-coordination-unit-post-a-terminology/en_US?backlink=search
"Innovation, Intranets and Digital Solutions Unit - Innovation Service",8,https://ep-stages.gestmax.eu/2797/1/innovation-intranets-and-digital-solutions-unit-innovation-service/en_US?backlink=search
Customer Experience Unit - Customer Relationship Management Service,2,https://ep-stages.gestmax.eu/2796/1/customer-experience-unit-customer-relationship-management-service/en_US?backlink=search
Corporate IT Systems Unit - Communication Systems Service,6,https://ep-stages.gestmax.eu/2795/1/corporate-it-systems-unit-communication-systems-service/en_US?backlink=search
Croatian Translation Unit – Post B,0,https://ep-stages.gestmax.eu/2794/1/croatian-translation-unit-post-b/en_US?backlink=search
Members IT Support Unit,1,https://ep-stages.gestmax.eu/2793/1/members-it-support-unit/en_US?backlink=search
Croatian Translation Unit – Post A,0,https://ep-stages.gestmax.eu/2792/1/croatian-translation-unit-post-a/en_US?backlink=search
User Support Unit - Services Management Service,3,https://ep-stages.gestmax.eu/2791/1/user-support-unit-services-management-service/en_US?backlink=search
Dutch Translation Unit - Post B,2,https://ep-stages.gestmax.eu/2790/1/dutch-translation-unit-post-b/en_US?backlink=search
Dutch Translation Unit - Post A,0,https://ep-stages.gestmax.eu/2789/1/dutch-translation-unit-post-a/en_US?backlink=search
Directorate for HR Support and Social Services,11,https://ep-stages.gestmax.eu/2788/1/directorate-for-hr-support-and-social-services/en_US?backlink=search
Media Intelligence Unit - Post B,7,https://ep-stages.gestmax.eu/2787/1/media-intelligence-unit-post-b/en_US?backlink=search
Media Intelligence Unit - Post A,5,https://ep-stages.gestmax.eu/2786/1/media-intelligence-unit-post-a/en_US?backlink=search
Personnel Unit,7,https://ep-stages.gestmax.eu/2785/1/personnel-unit/en_US?backlink=search
Audiovisual Unit - Post B: Promotion service,11,https://ep-stages.gestmax.eu/2784/1/audiovisual-unit-post-b-promotion-service/en_US?backlink=search
Trainee Outreach and Recruitment Unit - Post C: Liaison trainee,6,https://ep-stages.gestmax.eu/2783/1/trainee-outreach-and-recruitment-unit-post-c-liaison-trainee/en_US?backlink=search
Secretariat of the Bureau and the Quaestors,3,https://ep-stages.gestmax.eu/2782/1/secretariat-of-the-bureau-and-the-quaestors/en_US?backlink=search
External Relations Unit,38,https://ep-stages.gestmax.eu/2781/1/unite-relations-exterieures/en_US?backlink=search
Audiovisual Unit - Post A: Twitter/Promotion team,10,https://ep-stages.gestmax.eu/2780/1/audiovisual-unit-post-a-twitter-promotion-team/en_US?backlink=search
Press Unit - Post C: Press Officer (Greek),1,https://ep-stages.gestmax.eu/2779/1/press-unit-post-c-press-officer-greek/en_US?backlink=search
Press Unit - Post E: Press Officer (Slovene),1,https://ep-stages.gestmax.eu/2778/1/press-unit-post-e-press-officer-slovene/en_US?backlink=search
Press Unit - Post D: Press Officer (Spanish),24,https://ep-stages.gestmax.eu/2777/1/press-unit-post-d-press-officer-spanish/en_US?backlink=search
Press Unit - Post B: Press Officer (Danish),5,https://ep-stages.gestmax.eu/2776/1/press-unit-post-b-press-officer-danish/en_US?backlink=search
Press Unit - Post A: Press Officer (Italian),28,https://ep-stages.gestmax.eu/2775/1/press-unit-post-a-press-officer-italian/en_US?backlink=search
Staff Careers Unit,8,https://ep-stages.gestmax.eu/2774/1/unite-carrieres-statutaires/en_US?backlink=search
Institutional and Budgetary Law Unit,10,https://ep-stages.gestmax.eu/2773/1/unite-droits-institutionnel-et-budgetaire/en_US?backlink=search
Structural and Cohesion Policies Unit,8,https://ep-stages.gestmax.eu/2772/1/unite-politiques-structurelles-et-de-cohesion/en_US?backlink=search
Contractual and Financial Law Unit,18,https://ep-stages.gestmax.eu/2771/1/unite-droits-contractuel-et-financier/en_US?backlink=search
Real Estate Projects Unit,9,https://ep-stages.gestmax.eu/2770/1/unite-projets-immobiliers/en_US?backlink=search
German Translation Unit - Post C,4,https://ep-stages.gestmax.eu/2769/1/german-translation-unit-post-c/en_US?backlink=search
German Translation Unit - Post B,3,https://ep-stages.gestmax.eu/2768/1/german-translation-unit-post-b/en_US?backlink=search
German Translation Unit - Post A,4,https://ep-stages.gestmax.eu/2767/1/german-translation-unit-post-a/en_US?backlink=search
Directorate for Media,10,https://ep-stages.gestmax.eu/2766/1/directorate-for-media/en_US?backlink=search
Media Services Unit - Post A,10,https://ep-stages.gestmax.eu/2765/1/media-services-unit-post-a/en_US?backlink=search
Media Services Unit - Post B,5,https://ep-stages.gestmax.eu/2764/1/media-services-unit-post-b/en_US?backlink=search
Media Services Unit - Post C,6,https://ep-stages.gestmax.eu/2763/1/media-services-unit-post-c/en_US?backlink=search
Secretariat of the Committee on Culture and Education,56,https://ep-stages.gestmax.eu/2762/1/secretariat-of-the-committee-on-culture-and-education/en_US?backlink=search
Public Opinion Monitoring Unit - Post B: Graphic Designer,6,https://ep-stages.gestmax.eu/2761/1/public-opinion-monitoring-unit-post-b-graphic-designer/en_US?backlink=search
Secretariat of the Committee on Economic and Monetary Affairs - Post B,15,https://ep-stages.gestmax.eu/2760/1/secretariat-of-the-committee-on-economic-and-monetary-affairs-post-b/en_US?backlink=search
Secretariat of the Committee on Economic and Monetary Affairs - Post A,22,https://ep-stages.gestmax.eu/2759/1/secretariat-of-the-committee-on-economic-and-monetary-affairs-post-a/en_US?backlink=search
Public Opinion Monitoring Unit - Post A: Data Analyst,8,https://ep-stages.gestmax.eu/2758/1/public-opinion-monitoring-unit-post-a-data-analyst/en_US?backlink=search
Editorial Coordination Unit,5,https://ep-stages.gestmax.eu/2757/1/editorial-coordination-unit/en_US?backlink=search
Youth Outreach Unit - Post C: Programme of the European Youth Event,7,https://ep-stages.gestmax.eu/2756/1/youth-outreach-unit-post-c-programme-of-the-european-youth-event/en_US?backlink=search
Youth Outreach Unit - Post B: Social media and content production,18,https://ep-stages.gestmax.eu/2755/1/youth-outreach-unit-post-b-social-media-and-content-production/en_US?backlink=search
Strategy and Innovation Unit,2,https://ep-stages.gestmax.eu/2754/1/strategy-and-innovation-unit/en_US?backlink=search
Spokesperson's Unit: Press Officer,7,https://ep-stages.gestmax.eu/2753/1/spokesperson-s-unit/en_US?backlink=search
"Procurement, Contracts and Grant Management Unit",2,https://ep-stages.gestmax.eu/3017/1/procurement-contracts-and-grant-management-unit/en_US?backlink=search
European Parliament Liaison Office in Slovenia - Post B: Written and online press,1,https://ep-stages.gestmax.eu/2941/1/european-parliament-liaison-office-in-slovenia-post-b-written-and-online-press/en_US?backlink=search
European Parliament Liaison Office in Slovenia - Post A: Digital communication,1,https://ep-stages.gestmax.eu/2940/1/european-parliament-liaison-office-in-slovenia-post-a-digital-communication/en_US?backlink=search
Bureau de liaison du Parlement européen en France - Antenne régionale de Marseille ,7,https://ep-stages.gestmax.eu/2907/1/bureau-de-liaison-du-parlement-europeen-en-france-antenne-regionale-de-marseille/fr_FR?backlink=search
Strategy and Innovation Unit,8,https://ep-stages.gestmax.eu/2895/1/strategy-and-innovation-unit/en_US?backlink=search
European Parliament Liaison Office in Spain - Barcelona Regional Office: Communication ,36,https://ep-stages.gestmax.eu/2878/1/european-parliament-liaison-office-in-spain-barcelona-regional-office/en_US?backlink=search
European Parliament Liaison Office in Ireland - Post B: Outreach and Events ,5,https://ep-stages.gestmax.eu/2838/1/european-parliament-liaison-office-in-ireland-post-b-outreach-and-events/en_US?backlink=search
Youth Outreach Unit - Post A: Youth outreach and events,10,https://ep-stages.gestmax.eu/2752/1/youth-outreach-unit-post-a-youth-outreach-and-events/en_US?backlink=search
"Interinstitutional Relations Unit - Post B: Assisting the Unit, also with the Parliament Portfolio Projects",9,https://ep-stages.gestmax.eu/2751/1/interinstitutional-relations-unit-post-b/en_US?backlink=search
European Parliament Liaison Office in Bulgaria - Post A,8,https://ep-stages.gestmax.eu/2750/1/european-parliament-liaison-office-in-bulgaria-post-a/en_US?backlink=search
"Interinstitutional Relations Unit - Post A: Assisting the Unit, also with the organisation of ICG meetings",12,https://ep-stages.gestmax.eu/2749/1/interinstitutional-relations-unit-post-a/en_US?backlink=search
European Parliament Liaison Office in Bulgaria - Post B,7,https://ep-stages.gestmax.eu/2748/1/european-parliament-liaison-office-in-bulgaria-post-b/en_US?backlink=search
Institutional Cooperation Unit,42,https://ep-stages.gestmax.eu/2747/1/institutional-cooperation-unit/en_US?backlink=search
Financial Resources Unit - Post A,5,https://ep-stages.gestmax.eu/2746/1/financial-resources-unit-post-a/en_US?backlink=search
Financial Resources Unit - Post B ,6,https://ep-stages.gestmax.eu/2745/1/financial-resources-unit-post-b/en_US?backlink=search
Trainee Outreach and Recruitment Unit - Post A : Trainee in the Members' Traineeship Team,4,https://ep-stages.gestmax.eu/2744/1/trainee-outreach-and-recruitment-unit-post-a-members-traineeship-team/en_US?backlink=search
Trainee Outreach and Recruitment Unit - Post B: Liaison trainee,6,https://ep-stages.gestmax.eu/2743/1/trainee-outreach-and-recruitment-unit-post-b-liaison-trainee/en_US?backlink=search
"Secretariat of the Committee on Foreign Affairs - Post C:  Global Europe/NDICI, EFI",33,https://ep-stages.gestmax.eu/2742/1/secretariat-of-the-committee-on-foreign-affairs-post-c-global-europe-ndici-efi/en_US?backlink=search
IT Unit ,5,https://ep-stages.gestmax.eu/2741/1/it-unit/en_US?backlink=search
"Equality, Inclusion and Diversity unit",19,https://ep-stages.gestmax.eu/2740/1/equality-inclusion-and-diversity-unit/en_US?backlink=search
Secretariat of the Committee on Foreign Affairs - Post B: EFTA/Neighbourhood policy,27,https://ep-stages.gestmax.eu/2739/1/secretariat-of-the-committee-on-foreign-affairs-post-b-efta-neighbourhood-policy/en_US?backlink=search
APA Front Office Unit ,3,https://ep-stages.gestmax.eu/2738/1/apa-front-office-unit/en_US?backlink=search
Secretariat of the Committee on Foreign Affairs - Post A: Eastern Partnership,36,https://ep-stages.gestmax.eu/2737/1/secretariat-of-the-committee-on-foreign-affairs-post-a-eastern-partnership/en_US?backlink=search
Legislative and Judicial Coordination Unit,22,https://ep-stages.gestmax.eu/2736/1/unite-de-la-coordination-legislative-et-judiciaire/en_US?backlink=search
Secretariat of the Subcommittee on Security and Defence - Post B,46,https://ep-stages.gestmax.eu/2735/1/secretariat-of-the-subcommittee-on-security-and-defence-post-b/en_US?backlink=search
Secretariat of the Subcommittee on Security and Defence - Post A,47,https://ep-stages.gestmax.eu/2734/1/secretariat-of-the-subcommittee-on-security-and-defence-post-a/en_US?backlink=search
Secretariat of the Committee on Development - Post B,43,https://ep-stages.gestmax.eu/2733/1/secretariat-of-the-committee-on-development-post-b/en_US?backlink=search
Justice and Civil Liberties Unit,25,https://ep-stages.gestmax.eu/2732/1/unite-justice-et-libertes-publiques/en_US?backlink=search
Legislative Planning and Coordination Unit,6,https://ep-stages.gestmax.eu/2731/1/legislative-planning-and-coordination-unit/en_US?backlink=search
Directorate for Legislative Acts  - Post F,6,https://ep-stages.gestmax.eu/2730/1/directorate-for-legislative-acts-post-f/en_US?backlink=search
Directorate for Legislative Acts - Post E,4,https://ep-stages.gestmax.eu/2729/1/directorate-for-legislative-acts-post-e/en_US?backlink=search
Directorate for Legislative Acts - Post D,4,https://ep-stages.gestmax.eu/2728/1/directorate-for-legislative-acts-post-d/en_US?backlink=search
Directorate for Legislative Acts - Post C,7,https://ep-stages.gestmax.eu/2727/1/directorate-for-legislative-acts-post-c/en_US?backlink=search
Directorate for Legislative Acts - Post B,6,https://ep-stages.gestmax.eu/2726/1/directorate-for-legislative-acts-post-b/en_US?backlink=search
Directorate for Legislative Acts - Post A,8,https://ep-stages.gestmax.eu/2725/1/directorate-for-legislative-acts-post-a/en_US?backlink=search
Portuguese Translation Unit – Post C,7,https://ep-stages.gestmax.eu/2724/1/portuguese-translation-unit-post-c/en_US?backlink=search
Portuguese Translation Unit – Post B,7,https://ep-stages.gestmax.eu/2723/1/portuguese-translation-unit-post-b/en_US?backlink=search
Portuguese Translation Unit – Post A,9,https://ep-stages.gestmax.eu/2722/1/portuguese-translation-unit-post-a/en_US?backlink=search
Secretariat of the Committee on Development - Post A,44,https://ep-stages.gestmax.eu/2721/1/secretariat-of-the-committee-on-development-post-a/en_US?backlink=search
Economic and Scientific Policies Unit,12,https://ep-stages.gestmax.eu/2720/1/unite-politiques-economiques-et-scientifiques/en_US?backlink=search
Transatlantic Relations and G8 Unit ,43,https://ep-stages.gestmax.eu/2719/1/transatlantic-relations-and-g8-unit/en_US?backlink=search
Mediation and Dialogue Support Unit,31,https://ep-stages.gestmax.eu/2718/1/mediation-and-dialogue-support-unit/en_US?backlink=search
Unité de la traduction française - Poste C,9,https://ep-stages.gestmax.eu/2717/1/unite-de-la-traduction-francaise-poste-c/fr_FR?backlink=search
Unité de la traduction française - Poste B,8,https://ep-stages.gestmax.eu/2716/1/unite-de-la-traduction-francaise-poste-b/fr_FR?backlink=search
Unité de la traduction française - Poste A,13,https://ep-stages.gestmax.eu/2715/1/unite-de-la-traduction-francaise-poste-a/fr_FR?backlink=search
Finnish Translation Unit - Post B,1,https://ep-stages.gestmax.eu/2714/1/finnish-translation-unit-post-b/en_US?backlink=search
Finnish Translation Unit - Post A,0,https://ep-stages.gestmax.eu/2713/1/finnish-translation-unit-post-a/en_US?backlink=search
External Translation Unit,7,https://ep-stages.gestmax.eu/2712/1/external-translation-unit/en_US?backlink=search
Estonian Translation Unit - Post B,0,https://ep-stages.gestmax.eu/2711/1/estonian-translation-unit-post-b/en_US?backlink=search
Estonian Translation Unit - Post A,0,https://ep-stages.gestmax.eu/2710/1/estonian-translation-unit-post-a/en_US?backlink=search
Audio and Podcast Unit – Post C,2,https://ep-stages.gestmax.eu/2709/1/audio-and-podcast-unit-post-c/en_US?backlink=search
Audio and Podcast Unit – Post B,2,https://ep-stages.gestmax.eu/2708/1/audio-and-podcast-unit-post-b/en_US?backlink=search
"Unit for Africa, Caribbean and Pacific - Post B",24,https://ep-stages.gestmax.eu/2707/1/unit-for-africa-caribbean-and-pacific-post-b/en_US?backlink=search
"Unit for Africa, Caribbean and Pacific - Post A",23,https://ep-stages.gestmax.eu/2706/1/unit-for-africa-caribbean-and-pacific-post-a/en_US?backlink=search
Secretariat of the Subcommittee on Human Rights - Post B,45,https://ep-stages.gestmax.eu/2705/1/secretariat-of-the-subcommittee-on-human-rights-post-b/en_US?backlink=search
Secretariat of the Subcommittee on Human Rights - Post A,41,https://ep-stages.gestmax.eu/2704/1/secretariat-of-the-subcommittee-on-human-rights-post-a/en_US?backlink=search
Euromed and Middle East Unit - Post B: Parliamentary Assembly of the Union for the Mediterranean ,41,https://ep-stages.gestmax.eu/2703/1/euromed-and-middle-east-unit-post-b-parliamentary-assembly-of-the-union-for-the-mediterranean/en_US?backlink=search
